epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.04271,2.38959,5.15428,3.48018,1.9715,0.01833,0.14013,0.01054,0.00324,0.01,0.07643,0.00541,0.00185,1.82929,3.95345,3.49915,1.77114,0,0,0
2,1.65383,1.95919,5.10855,3.43126,1.94484,0.01667,0.12739,0.00963,0.00283,0.00833,0.06369,0.00456,0.00165,1.8373,3.95884,3.50101,1.77604,1.99604e-05,1.99604e-05,1.99604e-05
3,2.31165,2.06354,5.23912,3.43042,2.03372,0.015,0.11465,0.00864,0.00256,0.01,0.07643,0.00562,0.00181,1.84058,3.96525,3.50174,1.78218,3.98416e-05,3.98416e-05,3.98416e-05
4,2.88889,2.35207,5.2886,3.49119,2.03581,0.01583,0.12102,0.00921,0.0033,0.01,0.07643,0.00546,0.00182,1.85462,3.98761,3.50518,1.79607,5.96436e-05,5.96436e-05,5.96436e-05
5,3.31176,2.07937,4.96737,3.45957,1.89106,0.01583,0.12102,0.00921,0.00294,0.00833,0.06369,0.00449,0.00138,1.85861,3.98597,3.50652,1.80567,7.93664e-05,7.93664e-05,7.93664e-05
6,3.7796,2.13234,5.19947,3.42013,2.01313,0.0225,0.17197,0.01356,0.0061,0.015,0.11465,0.00866,0.00356,1.6534,3.46742,3.42646,1.58466,9.901e-05,9.901e-05,9.901e-05
7,4.47545,1.88632,4.56396,3.38713,1.80307,0.0425,0.32484,0.03683,0.01564,0.035,0.26752,0.02473,0.0115,1.3854,3.05074,3.32519,1.35464,0.000118574,0.000118574,0.000118574
8,5.18127,1.73931,3.77718,3.44212,1.60598,0.04917,0.3758,0.05566,0.02273,0.04167,0.31847,0.03402,0.01648,1.26173,2.76209,3.234,1.22635,0.00013806,0.00013806,0.00013806
9,5.84981,1.65481,3.54865,3.30582,1.44264,0.065,0.49682,0.08587,0.04281,0.05667,0.43312,0.05741,0.02424,1.24507,2.79327,3.16679,1.17893,0.000157466,0.000157466,0.000157466
10,6.4972,1.55792,3.18725,3.20606,1.35741,0.07417,0.56688,0.10924,0.06013,0.06167,0.47134,0.06557,0.02864,1.21512,2.90232,3.13265,1.13946,0.000176792,0.000176792,0.000176792
11,7.1908,1.51751,3.07513,3.23212,1.27928,0.08,0.61146,0.15677,0.08186,0.0675,0.51592,0.07931,0.03128,1.1939,3.0309,3.12758,1.11504,0.00019604,0.00019604,0.00019604
12,7.8836,1.31249,2.97424,3.15706,1.19244,0.08667,0.66242,0.18808,0.09072,0.07333,0.56051,0.08199,0.03697,1.17836,3.00098,3.13269,1.09801,0.000215208,0.000215208,0.000215208
13,8.5397,1.21355,2.73868,2.95464,1.1703,0.09417,0.71975,0.19502,0.10463,0.09083,0.69427,0.14513,0.05872,1.19833,2.74971,3.1369,1.10147,0.000234298,0.000234298,0.000234298
