epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1829.9,1.46646,1.64189,1.22563,0.00019,0.00301,8e-05,2e-05,5.35807,224.997,44.0138,0.000657277,0.000657277,0.000657277
2,4812.41,1.39212,1.0315,1.15871,0,0,0,0,nan,nan,nan,0.00132132,0.00132132,0.00132132
3,5718.96,1.44546,1.03447,1.18623,0.45518,0.21805,0.20989,0.12631,nan,nan,nan,0.00198273,0.00198273,0.00198273
4,6481.13,1.37387,0.97156,1.15645,0.74086,0.64919,0.69893,0.42223,1.36427,2.00335,1.24713,0.00198812,0.00198812,0.00198812
5,7416.09,1.3225,0.9247,1.13529,0.62939,0.75639,0.59632,0.36928,1.28233,1.236,1.18453,0.00198416,0.00198416,0.00198416
6,8070.11,1.31799,0.92489,1.1328,0.69229,0.65714,0.71623,0.43969,nan,nan,nan,0.0019802,0.0019802,0.0019802
7,8548.15,1.28349,0.86675,1.11419,0.83778,0.68571,0.79274,0.50172,nan,nan,nan,0.00197624,0.00197624,0.00197624
8,8985.83,1.25856,0.93643,1.09892,0.78981,0.71579,0.80989,0.50819,1.31856,1.08425,1.17047,0.00197228,0.00197228,0.00197228
9,9478.68,1.25588,0.86828,1.10501,0.79581,0.71502,0.74423,0.48918,nan,nan,nan,0.00196832,0.00196832,0.00196832
10,9954.91,1.25039,0.82983,1.1017,0.76499,0.71957,0.79825,0.48881,1.3465,0.98351,1.21774,0.00196436,0.00196436,0.00196436
11,10461.9,1.25795,0.8236,1.09983,0.807,0.79098,0.84148,0.54079,1.262,0.82347,1.15713,0.0019604,0.0019604,0.0019604
12,10931.5,1.21518,0.78985,1.07664,0.8401,0.81374,0.87509,0.58318,1.14267,0.92118,1.0906,0.00195644,0.00195644,0.00195644
13,11488.9,1.20637,0.76927,1.07867,0.79796,0.78195,0.8581,0.5607,1.18975,0.8503,1.1037,0.00195248,0.00195248,0.00195248
14,12030.3,1.20709,0.76591,1.07378,0.8411,0.77444,0.85902,0.57075,1.21064,0.8024,1.11055,0.00194852,0.00194852,0.00194852
15,12518.9,1.19466,0.75676,1.06623,0.77366,0.68872,0.78078,0.53017,1.22623,0.92516,1.13856,0.00194456,0.00194456,0.00194456
16,13007.6,1.20004,0.75829,1.07628,0.80562,0.76391,0.84848,0.55616,1.21309,0.80431,1.13085,0.0019406,0.0019406,0.0019406
17,13641.3,1.16351,0.72833,1.05011,0.8058,0.76241,0.8437,0.56436,1.18955,0.81543,1.10859,0.00193664,0.00193664,0.00193664
18,14189.6,1.19507,0.75807,1.07952,0.79931,0.82653,0.86892,0.56511,1.19318,0.84854,1.11988,0.00193268,0.00193268,0.00193268
