epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,376.097,1.12667,0.71018,0.97165,0.83926,0.87149,0.92658,0.63932,1.1116,0.6768,0.98028,0.00183764,0.00183764,0.00183764
43,384.819,1.13742,0.72374,0.96866,0.85673,0.83627,0.9206,0.63276,1.11342,0.66546,0.98192,0.00183368,0.00183368,0.00183368
44,393.635,1.13544,0.70741,0.96639,0.85621,0.84171,0.92318,0.63902,1.10637,0.68166,0.97532,0.00182972,0.00182972,0.00182972
45,402.343,1.16281,0.71746,0.98355,0.87357,0.84361,0.92051,0.64689,1.09812,0.6541,0.97329,0.00182576,0.00182576,0.00182576
46,411.596,1.13085,0.68683,0.96294,0.87436,0.82672,0.91,0.63305,1.12998,0.68131,0.98599,0.0018218,0.0018218,0.0018218
47,420.461,1.14551,0.70286,0.97453,0.84049,0.8637,0.91224,0.62843,1.12772,0.66344,0.98884,0.00181784,0.00181784,0.00181784
48,429.438,1.13267,0.69876,0.96893,0.86728,0.85263,0.92551,0.64894,1.10688,0.65575,0.97119,0.00181388,0.00181388,0.00181388
49,438.381,1.13661,0.69902,0.97342,0.86342,0.83652,0.92671,0.64634,1.1012,0.66174,0.97969,0.00180992,0.00180992,0.00180992
50,447.21,1.12356,0.70099,0.96793,0.82998,0.87358,0.92274,0.6339,1.12241,0.65771,0.98263,0.00180596,0.00180596,0.00180596
51,456.071,1.11484,0.69127,0.95976,0.8904,0.83759,0.92009,0.64048,1.12508,0.66344,0.98919,0.001802,0.001802,0.001802
52,464.956,1.13197,0.69943,0.97323,0.88128,0.83722,0.92713,0.64099,1.11339,0.65588,0.97764,0.00179804,0.00179804,0.00179804
53,473.835,1.12495,0.6892,0.96685,0.84204,0.81955,0.90876,0.62992,1.12111,0.68125,0.99344,0.00179408,0.00179408,0.00179408
54,482.855,1.10738,0.68397,0.96136,0.86975,0.86466,0.93338,0.65939,1.09753,0.64969,0.97503,0.00179012,0.00179012,0.00179012
55,491.78,1.12407,0.69327,0.96885,0.87083,0.85159,0.92008,0.64295,1.11035,0.65184,0.98073,0.00178616,0.00178616,0.00178616
56,500.684,1.11385,0.68414,0.96397,0.84999,0.86912,0.93067,0.64031,1.10716,0.65263,0.97765,0.0017822,0.0017822,0.0017822
57,509.743,1.10395,0.6666,0.9588,0.89691,0.83735,0.92553,0.64967,1.08887,0.64691,0.9677,0.00177824,0.00177824,0.00177824
58,518.686,1.09718,0.67187,0.95466,0.85987,0.86767,0.91818,0.62742,1.1321,0.66849,0.99091,0.00177428,0.00177428,0.00177428
