epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,18.2644,1.13712,2.02695,2.25111,1.02739,0.10167,0.88406,0.34384,0.15661,0.08833,0.76812,0.29578,0.12727,1.24844,2.9659,3.00492,1.11095,0.000528954,0.000528954,0.000528954
30,18.7886,1.23597,1.9274,2.19684,1.06319,0.10167,0.88406,0.34384,0.15661,0.08833,0.76812,0.29578,0.12727,1.24844,2.9659,3.00492,1.11095,0.000546696,0.000546696,0.000546696
31,19.3179,1.10299,1.802,2.07765,1.02447,0.09667,0.84058,0.35891,0.17785,0.09167,0.7971,0.32077,0.12535,1.20119,3.04604,2.94701,1.10165,0.00056436,0.00056436,0.00056436
32,19.8893,1.27023,2.14408,1.96423,1.15676,0.09667,0.84058,0.35891,0.17785,0.09167,0.7971,0.32077,0.12535,1.20119,3.04604,2.94701,1.10165,0.000581944,0.000581944,0.000581944
33,20.4161,1.11349,1.85876,2.13226,1.02033,0.09167,0.7971,0.36941,0.18015,0.08667,0.75362,0.27278,0.12007,1.2107,3.10277,2.93813,1.10984,0.00059945,0.00059945,0.00059945
34,20.8475,1.18245,1.78004,2.0372,1.08924,0.09167,0.7971,0.36941,0.18015,0.08667,0.75362,0.27278,0.12007,1.2107,3.10277,2.93813,1.10984,0.000616876,0.000616876,0.000616876
35,21.3348,1.22702,2.15241,2.32018,1.04417,0.095,0.82609,0.36456,0.16007,0.085,0.73913,0.3063,0.11627,1.2536,2.97335,2.90052,1.12155,0.000634222,0.000634222,0.000634222
36,21.7718,1.19773,1.91075,1.98743,1.00681,0.095,0.82609,0.36456,0.16007,0.085,0.73913,0.3063,0.11627,1.2536,2.97335,2.90052,1.12155,0.00065149,0.00065149,0.00065149
37,22.2225,1.06541,1.72111,1.8054,1.01126,0.09333,0.81159,0.29906,0.14613,0.07667,0.66667,0.20078,0.09186,1.20157,3.08073,2.82208,1.07345,0.000668678,0.000668678,0.000668678
38,22.6628,1.1897,1.91516,1.91007,1.02964,0.09333,0.81159,0.29906,0.14613,0.07667,0.66667,0.20078,0.09186,1.20157,3.08073,2.82208,1.07345,0.000685788,0.000685788,0.000685788
39,23.1472,1.21439,1.9193,1.91548,1.02896,0.09333,0.81159,0.28363,0.1461,0.07833,0.68116,0.1655,0.06469,1.30577,3.43136,2.7663,1.11394,0.000702818,0.000702818,0.000702818
40,23.5825,1.07199,1.65039,1.60983,0.99968,0.09333,0.81159,0.28363,0.1461,0.07833,0.68116,0.1655,0.06469,1.30577,3.43136,2.7663,1.11394,0.000719768,0.000719768,0.000719768
41,24.0911,1.15591,1.98925,1.78929,1.00206,0.095,0.82609,0.27193,0.1519,0.07833,0.68116,0.18758,0.08483,1.33238,3.29039,2.73806,1.12877,0.00073664,0.00073664,0.00073664
42,24.5257,1.15347,1.72751,1.51115,1.01036,0.095,0.82609,0.27193,0.1519,0.07833,0.68116,0.18758,0.08483,1.33238,3.29039,2.73806,1.12877,0.000753432,0.000753432,0.000753432
43,25.0566,1.05475,1.63523,1.41614,1.02188,0.095,0.82609,0.33642,0.18765,0.09167,0.7971,0.31513,0.14908,1.2608,3.14016,2.66256,1.0884,0.000770146,0.000770146,0.000770146
44,25.5798,1.0692,1.452,1.42254,0.97928,0.095,0.82609,0.33642,0.18765,0.09167,0.7971,0.31513,0.14908,1.2608,3.14016,2.66256,1.0884,0.00078678,0.00078678,0.00078678
45,26.1423,1.0315,1.57538,1.42738,0.99004,0.09167,0.7971,0.40192,0.21146,0.08333,0.72464,0.35958,0.17507,1.27241,3.17337,2.57403,1.0742,0.000803334,0.000803334,0.000803334
46,26.6885,1.19833,1.97948,1.28984,1.06401,0.09167,0.7971,0.40192,0.21146,0.08333,0.72464,0.35958,0.17507,1.27241,3.17337,2.57403,1.0742,0.00081981,0.00081981,0.00081981
47,27.247,1.03196,1.58947,1.30947,1.00297,0.09033,0.76812,0.39834,0.21396,0.08986,0.76408,0.33721,0.16639,1.26002,3.0903,2.54604,1.08083,0.000836206,0.000836206,0.000836206
48,27.7252,0.97504,1.40703,1.13998,0.98735,0.09033,0.76812,0.39834,0.21396,0.08986,0.76408,0.33721,0.16639,1.26002,3.0903,2.54604,1.08083,0.000852524,0.000852524,0.000852524
49,28.2117,1.12724,1.69319,1.13445,1.00019,0.27519,0.55072,0.35867,0.21697,0.26787,0.50725,0.31361,0.1774,1.24188,3.369,2.47906,1.10676,0.000868762,0.000868762,0.000868762
