epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,336.71,1.13451,0.70931,0.96488,0.84154,0.86684,0.91435,0.62863,1.19367,0.69942,0.99344,0.00183764,0.00183764,0.00183764
43,344.397,1.14453,0.70623,0.96299,0.8772,0.81614,0.91557,0.62384,1.19266,0.70117,0.98766,0.00183368,0.00183368,0.00183368
44,352.328,1.1251,0.68805,0.96317,0.83022,0.86237,0.89746,0.61258,1.18345,0.72754,0.98985,0.00182972,0.00182972,0.00182972
45,360.295,1.13379,0.69072,0.96116,0.88653,0.81989,0.92169,0.63934,1.19838,0.65191,0.99393,0.00182576,0.00182576,0.00182576
46,368.222,1.11954,0.69091,0.95783,0.84693,0.88239,0.91788,0.63727,1.18539,0.68318,0.97987,0.0018218,0.0018218,0.0018218
47,376.009,1.13271,0.69507,0.9624,0.85766,0.84803,0.90075,0.62061,1.20552,0.69929,0.99109,0.00181784,0.00181784,0.00181784
48,383.983,1.13168,0.69887,0.96259,0.88531,0.811,0.90698,0.62762,1.17413,0.70686,0.98565,0.00181388,0.00181388,0.00181388
49,391.8,1.11521,0.69529,0.95566,0.86626,0.82638,0.91431,0.63053,1.20382,0.66748,1.00797,0.00180992,0.00180992,0.00180992
50,399.603,1.12575,0.6878,0.96151,0.85374,0.85553,0.91517,0.61184,1.20022,0.73053,0.99806,0.00180596,0.00180596,0.00180596
51,407.888,1.12849,0.68674,0.96876,0.85453,0.85178,0.91315,0.62922,1.20237,0.66342,0.99512,0.001802,0.001802,0.001802
52,415.829,1.12279,0.67391,0.95858,0.87356,0.85554,0.90205,0.61558,1.21069,0.6971,1.00797,0.00179804,0.00179804,0.00179804
53,423.673,1.1181,0.68068,0.96539,0.89852,0.83114,0.92753,0.63581,1.19875,0.66326,0.98387,0.00179408,0.00179408,0.00179408
54,431.67,1.11692,0.67649,0.95727,0.85959,0.87805,0.91289,0.63034,1.16911,0.64893,0.97929,0.00179012,0.00179012,0.00179012
55,439.47,1.10273,0.68143,0.95356,0.86081,0.86492,0.91371,0.63824,1.18187,0.67818,0.98903,0.00178616,0.00178616,0.00178616
56,447.305,1.11092,0.67528,0.95036,0.8651,0.87831,0.93332,0.64892,1.17145,0.65016,0.97212,0.0017822,0.0017822,0.0017822
57,455.264,1.12151,0.68557,0.96635,0.89148,0.84772,0.91918,0.63193,1.16583,0.645,0.97149,0.00177824,0.00177824,0.00177824
58,463.012,1.12016,0.67505,0.95181,0.84783,0.85178,0.91382,0.61857,1.21232,0.67726,0.9898,0.00177428,0.00177428,0.00177428
59,470.811,1.10177,0.65588,0.95077,0.88478,0.85,0.91029,0.62789,1.17031,0.65225,0.98947,0.00177032,0.00177032,0.00177032
60,478.555,1.10084,0.66486,0.95603,0.86689,0.8553,0.90056,0.61777,1.18199,0.66665,0.98538,0.00176636,0.00176636,0.00176636
61,486.257,1.10391,0.67065,0.95887,0.88767,0.86304,0.92065,0.6329,1.18348,0.63405,0.98284,0.0017624,0.0017624,0.0017624
62,493.949,1.11362,0.67209,0.96043,0.87355,0.8743,0.92646,0.63111,1.18938,0.65026,0.99876,0.00175844,0.00175844,0.00175844
63,501.617,1.1038,0.6628,0.95297,0.88429,0.84598,0.92043,0.6398,1.17043,0.65181,0.98076,0.00175448,0.00175448,0.00175448
